Concessionaria;Praca_de_pedagio;Ano_PNV_SNV;UF;Rodovia;Km_m;Tipo_de_Pista;Sentido;Municipio;Direcao;Latitude;Longitude;Data_da_Ativacao;Mes_ano;Receita_Praca_de_Pedagio
AUTOPISTA FERNÃO DIAS;6 (Santo Antônio do Amparo);2007;Minas Gerais;BR-381/MG;658,300;Principal;CrescenteDecrescente;Santo Antônio do Amparo;Sul/Norte;-21,000367;-44,966967;10/03/2009;02/2020;2513965,639563984
AUTOPISTA FERNÃO DIAS;7 (Carmópolis de Minas);2007;Minas Gerais;BR-381/MG;597,700;Principal;CrescenteDecrescente;Carmópolis de Minas;Sul/Norte;-20,591486;-44,701506;10/03/2009;02/2020;2491835,762811627
AUTOPISTA FERNÃO DIAS;8 (Itatiaiuçu);2007;Minas Gerais;BR-381/MG;545,900;Principal;CrescenteDecrescente;Rio Manso;Sul/Norte;-20,268346;-44,423711;10/03/2009;02/2020;2858336,7871208964
AUTOPISTA FERNÃO DIAS;1 Sul (Mairiporã);2007;São Paulo;BR-381/SP;66,600;Principal;Crescente;Mairiporã;Sul;-23,330558;-46,578337;09/09/2010;02/2020;6388493,174590695
AUTOPISTA FERNÃO DIAS;2 (Vargem);2007;São Paulo;BR-381/SP;7,300;Principal;CrescenteDecrescente;Vargem;Sul/Norte;-22,908685;-46,424877;09/01/2009;02/2020;4530421,64312244
AUTOPISTA FERNÃO DIAS;1 Norte - Defasada (Mairiporã);2007;São Paulo;BR-381/SP;67,800;Principal;Decrescente;Mairiporã;Norte;-23,341210;-46,573664;08/03/2014;02/2020;0
AUTOPISTA FERNÃO DIAS;1 Norte (Mairiporã);2007;São Paulo;BR-381/SP;65,700;Principal;Decrescente;Mairiporã;Norte;-23,322298;-46,581097;09/09/2010;02/2020;0
VIA BAHIA;Praça 3;2003;Bahia;BR-116/BA;482,138;Principal;CrescenteDecrescente;Rafael Jambeiro;Sul/Norte;-12,531931;-39,415020;07/12/2010;02/2020;3931082,462226175
VIA BAHIA;Praça 4;2003;Bahia;BR-116/BA;566,405;Principal;CrescenteDecrescente;Brejões;Sul/Norte;-13,008714;-39,957042;07/12/2010;02/2020;2969137,6499078465
VIA BAHIA;Praça 5;2003;Bahia;BR-116/BA;698,410;Principal;CrescenteDecrescente;Jequié;Sul/Norte;-14,055969;-40,204450;07/12/2010;02/2020;2780087,4039290496
VIA BAHIA;Praça 6;2003;Bahia;BR-116/BA;773,819;Principal;CrescenteDecrescente;Planalto;Sul/Norte;-14,646178;-40,455782;07/12/2010;02/2020;2920266,7298628846
VIA BAHIA;Praça 7;2003;Bahia;BR-116/BA;873,499;Principal;CrescenteDecrescente;Vitória da Conquista;Sul/Norte;-15,232323;-41,100949;07/12/2010;02/2020;2762403,593168449
VIA BAHIA;Praça 1;2003;Bahia;BR-324/BA;597,728;Principal;CrescenteDecrescente;Simões Filho;Leste/Oeste;-12,751276;-38,431540;31/07/2011;02/2020;6385740,575064895
VIA BAHIA;Praça 2;2003;Bahia;BR-324/BA;551,094;Principal;CrescenteDecrescente;Amélia Rodrigues;Leste/Oeste;-12,451647;-38,708421;28/12/2010;02/2020;5899430,6958407005
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P1 - Pedro Canário;2015;Espírito Santo;BR-101/ES;0,800;Principal;CrescenteDecrescente;Pedro Canário;Sul/Norte;-18,184740;-39,922082;18/05/2014;02/2020;953063,0441295941
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P2 - São Mateus;2015;Espírito Santo;BR-101/ES;85,800;Principal;CrescenteDecrescente;São Mateus;Sul/Norte;-18,863973;-39,938669;18/05/2014;02/2020;1445522,5547428308
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P3 - Aracruz;2015;Espírito Santo;BR-101/ES;171,700;Principal;CrescenteDecrescente;Aracruz;Sul/Norte;-19,563047;-40,177583;18/05/2014;02/2020;1830304,3754469764
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P4 - Serra;2015;Espírito Santo;BR-101/ES;242,000;Principal;CrescenteDecrescente;Serra;Sul/Norte;-20,032325;-40,396639;18/05/2014;02/2020;2971103,7353628906
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P5 - Guarapari;2015;Espírito Santo;BR-101/ES;320,800;Principal;CrescenteDecrescente;Guarapari;Sul/Norte;-20,519115;-40,478567;18/05/2014;02/2020;2667886,998514646
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P6 - Itapemirim;2015;Espírito Santo;BR-101/ES;398,900;Principal;CrescenteDecrescente;Itapemirim;Sul/Norte;-20,878550;-40,966050;18/05/2014;02/2020;2675839,9748116285
ECO101 CONCESSIONARIA DE RODOVIAS S/A;P7 - Mimoso do Sul;2015;Espírito Santo;BR-101/ES;452,000;Principal;CrescenteDecrescente;Mimoso do Sul;Sul/Norte;-21,158566;-41,280833;18/05/2014;02/2020;1946079,2769914335
ECO050;IPAMERI;2017;Goiás;BR-050/GO;143,985;Principal;CrescenteDecrescente;Ipameri;Sul/Norte;-17,121987;-47,721537;17/05/2015;02/2020;1389527,1696464743
ECO050;CAMPO ALEGRE;2017;Goiás;BR-050/GO;226,000;Principal;CrescenteDecrescente;Campo Alegre de Goiás;Sul/Norte;-17,771615;-47,749429;16/04/2015;02/2020;1271987,4424171352
ECO050;ARAGUARI I;2017;Minas Gerais;BR-050/MG;13,730;Principal;CrescenteDecrescente;Araguari;Sul/Norte;-18,537594;-48,045546;12/04/2015;02/2020;2014012,6475286405
ECO050;ARAGUARI II;2017;Minas Gerais;BR-050/MG;51,500;Principal;CrescenteDecrescente;Araguari;Sul/Norte;-18,749143;-48,234378;14/04/2015;02/2020;3972718,6644853903
ECO050;DELTA;2017;Minas Gerais;BR-050/MG;198,060;Principal;CrescenteDecrescente;Delta;Sul/Norte;-19,914722;-47,829868;18/04/2015;02/2020;4646400,068394313
ECO050;UBERABA;2017;Minas Gerais;BR-050/MG;104,900;Principal;CrescenteDecrescente;Uberaba;Sul/Norte;-19,180063;-48,157641;12/04/2015;02/2020;3964355,8575280444
CONCEBRA;P1 ALEXÂNIA;2017;Goiás;BR-060/GO;43,100;Principal;CrescenteDecrescente;Alexânia;Sul/Norte;-16,115707;-48,589240;27/07/2015;02/2020;3396302,975311292
CONCEBRA;P2 GOIANÁPOLIS;2017;Goiás;BR-060/GO;107,900;Principal;CrescenteDecrescente;Goianápolis;Sul/Norte;-16,438631;-49,019137;27/07/2015;02/2020;6172766,856658387
CONCEBRA;P3 PROF JAMIL;2017;Goiás;BR-153/GO;553,100;Principal;CrescenteDecrescente;Piracanjuba;Sul/Norte;-17,163180;-49,212582;27/07/2015;02/2020;3705246,0119497124
CONCEBRA;P4 ITUMBIARA;2017;Goiás;BR-153/GO;685,800;Principal;CrescenteDecrescente;Itumbiara;Sul/Norte;-18,268544;-49,245811;27/07/2015;02/2020;3275525,015046887
CONCEBRA;P5 PRATA;2017;Minas Gerais;BR-153/MG;127,900;Principal;CrescenteDecrescente;Prata;Sul/Norte;-19,471586;-48,871046;27/07/2015;02/2020;2958015,781312713
CONCEBRA;P6 FRONTEIRA;2017;Minas Gerais;BR-153/MG;227,900;Principal;CrescenteDecrescente;Fronteira;Sul/Norte;-20,142521;-49,110488;27/07/2015;02/2020;1749016,9518811828
CONCEBRA;P7 FLORESTAL;2017;Minas Gerais;BR-262/MG;389,400;Principal;CrescenteDecrescente;Florestal;Oeste/Leste;-19,909615;-44,506725;27/07/2015;02/2020;2949332,177192979
CONCEBRA;P8 LUZ;2017;Minas Gerais;BR-262/MG;512,850;Principal;CrescenteDecrescente;Luz;Oeste/Leste;-19,788259;-45,584630;27/07/2015;02/2020;1856060,5481673402
CONCEBRA;P9 CAMPOS ALTOS;2017;Minas Gerais;BR-262/MG;600,800;Principal;CrescenteDecrescente;Campos Altos;Oeste/Leste;-19,647341;-46,240088;27/07/2015;02/2020;1875453,0275704581
CONCEBRA;P10 PERDIZES;2017;Minas Gerais;BR-262/MG;736,900;Principal;CrescenteDecrescente;Perdizes;Oeste/Leste;-19,617614;-47,346547;27/07/2015;02/2020;1335784,8683653602
CONCEBRA;P11 CAMPO FLORIDO;2017;Minas Gerais;BR-262/MG;863,500;Principal;CrescenteDecrescente;Conceição das Alagoas;Oeste/Leste;-19,776951;-48,458219;27/07/2015;02/2020;264131,936543686
CRO;P1;2016;Mato Grosso;BR-163/MT;33,600;Principal;CrescenteDecrescente;Itiquira;Norte/Sul;-17,219391;-54,758685;06/09/2015;02/2020;1712092,7751828206
CRO;P7;2016;Mato Grosso;BR-163/MT;586,900;Principal;CrescenteDecrescente;Nova Mutum;Norte/Sul;-13,919520;-56,093419;06/09/2015;02/2020;3370400,046511786
CRO;P8;2016;Mato Grosso;BR-163/MT;664,450;Principal;CrescenteDecrescente;Lucas do Rio Verde;Norte/Sul;-13,265990;-56,022777;06/09/2015;02/2020;3040866,3546961504
CRO;P9;2016;Mato Grosso;BR-163/MT;766,700;Principal;CrescenteDecrescente;Sorriso;Norte/Sul;-12,441635;-55,653798;06/09/2015;02/2020;2851893,2894775257
CRO;P2;2016;Mato Grosso;BR-364/MT;214,400;Principal;CrescenteDecrescente;Rondonópolis;Norte/Sul;-16,393565;-54,714281;06/09/2015;02/2020;6194920,036949958
CRO;P3;2016;Mato Grosso;BR-364/MT;316,550;Principal;CrescenteDecrescente;Campo Verde;Norte/Sul;-15,812126;-55,309470;06/09/2015;02/2020;5399517,979491997
CRO;P4;2016;Mato Grosso;BR-364/MT;383,100;Principal;CrescenteDecrescente;Cuiabá;Norte/Sul;-15,702041;-55,829527;06/09/2015;02/2020;6081067,336467404
CRO;P5;2016;Mato Grosso;BR-364/MT;479,100;Principal;CrescenteDecrescente;Jangada;Norte/Sul;-15,349875;-56,415628;26/09/2015;02/2020;4601867,009244865
CRO;P6;2016;Mato Grosso;BR-364/MT;579,100;Principal;CrescenteDecrescente;Nobres;Norte/Sul;-14,599728;-56,240858;06/09/2015;02/2020;4546791,3019774975
MSVIA;P1-Mundo Novo;2014;Mato Grosso do Sul;BR-163/MS;28,200;Principal;CrescenteDecrescente;Mundo Novo;Norte/Sul;-23,865169;-54,329788;14/09/2015;02/2020;2340342,70183601
MSVIA;P2-Itaquirai;2014;Mato Grosso do Sul;BR-163/MS;113,000;Principal;CrescenteDecrescente;Itaquiraí;Norte/Sul;-23,167432;-54,198970;14/09/2015;02/2020;2282575,309561089
MSVIA;P3-Caarapó;2014;Mato Grosso do Sul;BR-163/MS;228,200;Principal;CrescenteDecrescente;Caarapó;Norte/Sul;-22,476042;-54,860799;14/09/2015;02/2020;2231344,005944205
MSVIA;P4-Rio Brilhante;2014;Mato Grosso do Sul;BR-163/MS;313,500;Principal;CrescenteDecrescente;Rio Brilhante;Norte/Sul;-21,865146;-54,528504;14/09/2015;02/2020;1918305,6728145666
MSVIA;P5-Campo Grande;2014;Mato Grosso do Sul;BR-163/MS;431,800;Principal;CrescenteDecrescente;Campo Grande;Norte/Sul;-20,882783;-54,504644;14/09/2015;02/2020;3012611,472923745
MSVIA;P6-Jaraguari;2014;Mato Grosso do Sul;BR-163/MS;535,200;Principal;CrescenteDecrescente;Bandeirantes;Norte/Sul;-20,040780;-54,412778;14/09/2015;02/2020;3380126,023250749
MSVIA;P7-São Gabriel;2014;Mato Grosso do Sul;BR-163/MS;605,000;Principal;CrescenteDecrescente;São Gabriel do Oeste;Norte/Sul;-19,473376;-54,496991;14/09/2015;02/2020;2856128,6546780556
MSVIA;P8-Rio Verde;2014;Mato Grosso do Sul;BR-163/MS;704,300;Principal;CrescenteDecrescente;Rio Verde de Mato Grosso;Norte/Sul;-18,722782;-54,814951;14/09/2015;02/2020;2244369,9217632036
MSVIA;P9-Sonora;2014;Mato Grosso do Sul;BR-163/MS;819,200;Principal;CrescenteDecrescente;Sonora;Norte/Sul;-17,766671;-54,750815;14/09/2015;02/2020;2406417,337228374
ECOPONTE;NITEROÍ-1;2017;Rio de Janeiro;BR-101/RJ;322,230;Principal;Decrescente;Rio de Janeiro;Norte;-22,877944;-43,115734;01/06/2015;02/2020;9748576,89
VIA 040;P1 - Cristalina;2010;Goiás;BR-040/GO;93,275;Principal;CrescenteDecrescente;Cristalina;Sul/Norte;-16,738900;-47,617540;30/07/2015;02/2020;2185018,386133685
VIA 040;P10 - Lafaiete;2010;Minas Gerais;BR-040/MG;642,850;Principal;CrescenteDecrescente;Conselheiro Lafaiete;Sul/Norte;-20,767020;-43,806680;23/08/2015;02/2020;3131966,176451889
VIA 040;P11 - Barbacena;2010;Minas Gerais;BR-040/MG;714,100;Principal;CrescenteDecrescente;Barbacena;Sul/Norte;-21,262710;-43,662240;23/08/2015;02/2020;1659628,6668361977
VIA 040;P2 - Paracatu;2010;Minas Gerais;BR-040/MG;17,650;Principal;CrescenteDecrescente;Paracatu;Sul/Norte;-17,098310;-47,026240;30/07/2015;02/2020;1278101,4971457361
VIA 040;P3 - Lagoa Grande;2010;Minas Gerais;BR-040/MG;91,295;Principal;CrescenteDecrescente;Lagoa Grande;Sul/Norte;-17,505980;-46,564650;30/07/2015;02/2020;1492605,3210379544
VIA 040;P4 - João Pinheiro;2010;Minas Gerais;BR-040/MG;172,985;Principal;CrescenteDecrescente;João Pinheiro;Sul/Norte;-17,945770;-46,034250;30/07/2015;02/2020;1394015,445359123
VIA 040;P5 - São Gonçalo do Abaeté;2010;Minas Gerais;BR-040/MG;254,100;Principal;CrescenteDecrescente;São Gonçalo do Abaeté;Sul/Norte;-18,132650;-45,408170;30/07/2015;02/2020;1261211,6542938498
VIA 040;P6 - Felixlândia;2010;Minas Gerais;BR-040/MG;328,705;Principal;CrescenteDecrescente;Felixlândia;Sul/Norte;-18,565400;-45,021160;30/07/2015;02/2020;1395445,0197040155
VIA 040;P7 - Curvelo;2010;Minas Gerais;BR-040/MG;405,353;Principal;CrescenteDecrescente;Curvelo;Sul/Norte;-19,079300;-44,654950;30/07/2015;02/2020;1444600,3837168592
VIA 040;P8 - Capim Branco;2010;Minas Gerais;BR-040/MG;487,341;Principal;CrescenteDecrescente;Capim Branco;Sul/Norte;-19,601210;-44,221960;30/07/2015;02/2020;7088280,749699443
VIA 040;P9 - Itabirito;2010;Minas Gerais;BR-040/MG;577,200;Principal;CrescenteDecrescente;Itabirito;Sul/Norte;-20,272880;-43,951120;23/08/2015;02/2020;5561751,939621246
VIA SUL;P2-Santo Antônio da Patrulha;2017;Rio Grande do Sul;BR-290/RS;19,400;Principal;CrescenteDecrescente;Santo Antônio da Patrulha;Oeste/Leste;-29,885897;-50,448964;15/02/2019;02/2020;5075963,813149563
VIA SUL;P3-Gravatai;2017;Rio Grande do Sul;BR-290/RS;77,400;Principal;CrescenteDecrescente;Gravataí;Oeste/Leste;-29,955029;-51,031282;15/02/2019;02/2020;5356850,1114433855
VIA SUL;P1-Três Cachoeiras;2019;Rio Grande do Sul;BR-101/RS;35,200;Principal;CrescenteDecrescente;Três Cachoeiras;Norte;-29,520461;-49,996581;05/06/2020;02/2020;12154475,228467982
VIA SUL;P4-Montenegro;2019;Rio Grande do Sul;BR-386/RS;426,000;Principal;CrescenteDecrescente;Montenegro;Norte;-29,819760;-51,360405;05/06/2020;02/2020;4706044,612154539
VIA SUL;P5-Paverama;2019;Rio Grande do Sul;BR-386/RS;375,800;Principal;CrescenteDecrescente;Paverama;Norte;-29,626833;-51,775773;05/06/2020;02/2020;2830581,5105019715
VIA SUL;P6-Fontoura Xavier;2019;Rio Grande do Sul;BR-386/RS;262,700;Principal;CrescenteDecrescente;Fontoura Xavier;Norte;-28,905316;-52,396797;05/06/2020;02/2020;1770184,197434513
VIA SUL;P7-Victor Graeff;2019;Rio Grande do Sul;BR-386/RS;204,400;Principal;CrescenteDecrescente;Victor Graeff;Norte;-28,502039;-52,644709;05/06/2020;02/2020;836574,3268480424
NOVADUTRA;Itatiaia;1998;Rio de Janeiro;BR-116/RJ;318,900;Principal;CrescenteDecrescente;Itatiaia;Sul/Norte;-22,494913;-44,569597;01/08/1996;03/2020;1439549,5
NOVADUTRA;Viúva Graça;1998;Rio de Janeiro;BR-116/RJ;207,100;Principal;CrescenteDecrescente;Seropédica;Sul/Norte;-22,716155;-43,716697;01/08/1996;03/2020;1217459
NOVADUTRA;Viuvinha;1998;Rio de Janeiro;BR-116/RJ;208,600;Principal;CrescenteDecrescente;Seropédica;Sul/Norte;-22,715133;-43,730239;01/12/2009;03/2020;175253
NOVADUTRA;Guararema Sul;1998;São Paulo;BR-116/SP;180,800;Principal;Crescente;Guararema;Sul;-23,338823;-46,150096;01/08/1996;03/2020;843888,25
NOVADUTRA;Jacareí;1998;São Paulo;BR-116/SP;165,200;Principal;CrescenteDecrescente;Jacareí;Sul/Norte;-23,296531;-46,007208;15/08/2001;03/2020;2755017
NOVADUTRA;Jacareí Cab. Bloq.;1998;São Paulo;BR-116/SP;167,150;Principal;CrescenteDecrescente;Jacareí;Sul/Norte;-23,302445;-46,025038;15/08/2001;03/2020;0
NOVADUTRA;Moreira César;1998;São Paulo;BR-116/SP;86,850;Principal;CrescenteDecrescente;Pindamonhangaba;Sul/Norte;-22,930143;-45,360888;01/08/1996;03/2020;1799539,5
NOVADUTRA;Arujá;1998;São Paulo;BR-116/SP;204,700;Principal;CrescenteDecrescente;Arujá;Sul/Norte;-23,413055;-46,361079;08/10/1998;03/2020;2433859,5
NOVADUTRA;Arujá Rodoanel;1998;São Paulo;BR-116/SP;205,050;Principal;Decrescente;Arujá;Norte;-23,415697;-46,365118;09/07/2015;03/2020;212994
NOVADUTRA;Guararema Norte;1998;São Paulo;BR-116/SP;182,000;Principal;Decrescente;Santa Isabel;Norte;-23,346646;-46,164627;27/03/2011;03/2020;843888,25
CONCER;P1;2016;Rio de Janeiro;BR-040/RJ;102,000;Principal;CrescenteDecrescente;Duque de Caxias;Norte/Sul;-22,609965;-43,285552;02/06/2020;03/2020;7887305,24662491
CONCER;P2;2016;Rio de Janeiro;BR-040/RJ;45,500;Principal;CrescenteDecrescente;Areal;Norte/Sul;-22,284389;-43,120269;02/06/2020;03/2020;5314565,651566147
CONCER;P3;2016;Minas Gerais;BR-040/MG;816,700;Principal;CrescenteDecrescente;Simão Pereira;Norte/Sul;-21,928252;-43,316282;02/06/2020;03/2020;5286511,301808942
CRT;PA1 Santo Aleixo;2017;Rio de Janeiro;BR-116/RJ;114,500;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,610815;-43,032112;09/12/1996;03/2020;583352,3392090101
CRT;PA2 Santa Guilhermina;2017;Rio de Janeiro;BR-116/RJ;122,000;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,657363;-43,086196;09/12/1996;03/2020;429480,61128142226
CRT;PN1 Eng. Pierre Berman;2017;Rio de Janeiro;BR-116/RJ;133,500;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,647307;-43,187968;02/09/1996;03/2020;17813495,949509572
ECOSUL;Praça Cristal;1996;Rio Grande do Sul;BR-116/RS;430,800;Principal;CrescenteDecrescente;Cristal;Sul/Norte;-31,026386;-52,049430;20/04/2001;03/2020;5016054,7291868385
ECOSUL;Praça Pavão;1996;Rio Grande do Sul;BR-116/RS;541,200;Principal;CrescenteDecrescente;Capão do Leão;Sul/Norte;-31,820075;-52,526711;01/03/2002;03/2020;2232995,8211274254
ECOSUL;Praça Retiro;1996;Rio Grande do Sul;BR-116/RS;510,700;Principal;CrescenteDecrescente;Pelotas;Sul/Norte;-31,625261;-52,318116;04/03/2001;03/2020;5654484,295028648
ECOSUL;Praça Capão Seco;1996;Rio Grande do Sul;BR-392/RS;52,300;Principal;CrescenteDecrescente;Rio Grande;Norte/Sul;-31,851958;-52,326177;04/03/2001;03/2020;11073821,853094433
ECOSUL;Praça Glória;1996;Rio Grande do Sul;BR-392/RS;111,400;Principal;CrescenteDecrescente;Canguçu;Norte/Sul;-31,449786;-52,640644;01/03/2002;03/2020;4783313,831562658
AUTOPISTA PLANALTO SUL;RIO NEGRO;2017;Paraná;BR-116/PR;204,100;Principal;CrescenteDecrescente;Rio Negro;Sul/Norte;-26,070580;-49,739911;04/02/2009;03/2020;2986468,738578239
AUTOPISTA PLANALTO SUL;FAZENDA RIO GRANDE;2017;Paraná;BR-116/PR;134,400;Principal;CrescenteDecrescente;Fazenda Rio Grande;Sul/Norte;-25,713458;-49,318037;22/02/2009;03/2020;4756857,611594549
AUTOPISTA PLANALTO SUL;MONTE CASTELO;2017;Santa Catarina;BR-116/SC;81,600;Principal;CrescenteDecrescente;Monte Castelo;Sul/Norte;-26,570363;-50,221795;04/02/2009;03/2020;2512456,517391565
AUTOPISTA PLANALTO SUL;SANTA CECÍLIA;2017;Santa Catarina;BR-116/SC;152,000;Principal;CrescenteDecrescente;Santa Cecília;Sul/Norte;-27,010584;-50,428716;18/01/2009;03/2020;2013274,2268164658
AUTOPISTA PLANALTO SUL;CORREIA PINTO;2017;Santa Catarina;BR-116/SC;233,160;Principal;CrescenteDecrescente;Correia Pinto;Sul/Norte;-27,010584;-50,374335;18/02/2008;03/2020;2016442,9556191817
AUTOPISTA LITORAL SUL;P1;2009;Paraná;BR-376/PR;635,300;Principal;CrescenteDecrescente;São José dos Pinhais;Sul/Norte;-25,747708;-49,129655;22/02/2009;03/2020;5672864,199407756
AUTOPISTA LITORAL SUL;P2;2009;Santa Catarina;BR-101/SC;1,350;Principal;CrescenteDecrescente;Garuva;Sul/Norte;-25,991898;-48,881469;22/02/2009;03/2020;5337943,271911192
AUTOPISTA LITORAL SUL;P3;2009;Santa Catarina;BR-101/SC;79,300;Principal;CrescenteDecrescente;Araquari;Sul/Norte;-26,591635;-48,722079;04/06/2009;03/2020;5942429,384613134
AUTOPISTA LITORAL SUL;P4;2009;Santa Catarina;BR-101/SC;157,400;Principal;CrescenteDecrescente;Porto Belo;Sul/Norte;-27,185065;-48,612362;12/05/2009;03/2020;5883995,585746598
AUTOPISTA LITORAL SUL;P5;2009;Santa Catarina;BR-101/SC;242,800;Principal;CrescenteDecrescente;Palhoça;Sul/Norte;-27,885105;-48,647677;20/06/2009;03/2020;3962629,41832132
AUTOPISTA REGIS BITTENCOURT;Campina Grande do Sul;2017;Paraná;BR-116/PR;57,100;Principal;CrescenteDecrescente;Campina Grande do Sul;Sul/Norte;-25,289252;-48,933841;10/03/2009;03/2020;6006831,076736396
AUTOPISTA REGIS BITTENCOURT;São Lourenço da Serra;2017;São Paulo;BR-116/SP;298,800;Principal;CrescenteDecrescente;São Lourenço da Serra;Sul/Norte;-23,787647;-46,913922;29/12/2008;03/2020;6690091,6025207555
AUTOPISTA REGIS BITTENCOURT;Miracatu;2017;São Paulo;BR-116/SP;370,400;Principal;CrescenteDecrescente;Miracatu;Sul/Norte;-24,157869;-47,326280;23/03/2009;03/2020;5821782,827345131
AUTOPISTA REGIS BITTENCOURT;Juquiá;2017;São Paulo;BR-116/SP;426,600;Principal;CrescenteDecrescente;Juquiá;Sul/Norte;-24,389325;-47,722391;22/02/2009;03/2020;6376961,236116506
AUTOPISTA REGIS BITTENCOURT;Cajati;2017;São Paulo;BR-116/SP;485,700;Principal;CrescenteDecrescente;Cajati;Sul/Norte;-24,722483;-48,082580;29/12/2008;03/2020;6227313,305717087
AUTOPISTA REGIS BITTENCOURT;Barra do Turvo;2017;São Paulo;BR-116/SP;542,900;Principal;CrescenteDecrescente;Barra do Turvo;Sul/Norte;-24,964044;-48,412000;18/05/2009;03/2020;5745088,041564129
AUTOPISTA FLUMINENSE;Casimiro de Abreu;2019;Rio de Janeiro;BR-101/RJ;192,820;Principal;CrescenteDecrescente;Casimiro de Abreu;Sul/Norte;-22,476441;-42,088519;25/05/2009;03/2020;0
AUTOPISTA FLUMINENSE;Conselheiro Josino;2019;Rio de Janeiro;BR-101/RJ;40,500;Principal;CrescenteDecrescente;Campos dos Goytacazes;Sul/Norte;-21,552594;-41,331597;02/02/2009;03/2020;0
AUTOPISTA FLUMINENSE;Rio Bonito;2019;Rio de Janeiro;BR-101/RJ;252,850;Principal;CrescenteDecrescente;Rio Bonito;Sul/Norte;-22,687469;-42,539855;25/05/2009;03/2020;0
AUTOPISTA FLUMINENSE;São Gonçalo;2019;Rio de Janeiro;BR-101/RJ;299,690;Principal;Crescente;São Gonçalo;Sul;-22,774713;-42,945500;10/02/2009;03/2020;0
AUTOPISTA FLUMINENSE;Serrinha;2019;Rio de Janeiro;BR-101/RJ;123,070;Principal;CrescenteDecrescente;Campos dos Goytacazes;Sul/Norte;-22,049750;-41,685157;09/02/2009;03/2020;0
TRANSBRASILIANA;P 01;2015;São Paulo;BR-153/SP;35,800;Principal;CrescenteDecrescente;Onda Verde;Sul/Norte;-20,588611;-49,318055;18/12/2008;03/2020;3048873,6971445954
TRANSBRASILIANA;P 02;2015;São Paulo;BR-153/SP;98,900;Principal;CrescenteDecrescente;José Bonifácio;Sul/Norte;-20,997500;-49,628333;18/12/2008;03/2020;3275814,4950545584
TRANSBRASILIANA;P 03;2015;São Paulo;BR-153/SP;183,800;Principal;CrescenteDecrescente;Lins;Sul/Norte;-21,710555;-49,808611;18/12/2008;03/2020;1929798,4512954436
TRANSBRASILIANA;P 04;2015;São Paulo;BR-153/SP;268,100;Principal;CrescenteDecrescente;Vera Cruz;Sul/Norte;-22,336311;-49,898833;24/12/2008;03/2020;1515041,956505402
RODOVIA DO AÇO;SAPUCAIA;2016;Rio de Janeiro;BR-393/RJ;125,700;Principal;CrescenteDecrescente;Sapucaia;Sul/Norte;-21,962326;-42,861675;30/04/2009;03/2020;2342626,1398801585
RODOVIA DO AÇO;BARRA DA PIRAI;2016;Rio de Janeiro;BR-393/RJ;265,200;Principal;CrescenteDecrescente;Barra do Piraí;Sul/Norte;-22,485435;-43,919084;06/07/2009;03/2020;3498984,2741437703
RODOVIA DO AÇO;PARAÍBA DO SUL;2016;Rio de Janeiro;BR-393/RJ;195,200;Principal;CrescenteDecrescente;Paraíba do Sul;Sul/Norte;-22,208911;-43,382139;05/03/2009;03/2020;2677319,5859760717
AUTOPISTA FERNÃO DIAS;3 (Cambuí);2007;Minas Gerais;BR-381/MG;900,900;Principal;CrescenteDecrescente;Cambuí;Sul/Norte;-22,628487;-46,077890;23/03/2009;03/2020;3580255,5679190094
AUTOPISTA FERNÃO DIAS;4 (São Gonçalo);2007;Minas Gerais;BR-381/MG;805,200;Principal;CrescenteDecrescente;São Gonçalo do Sapucaí;Sul/Norte;-21,970441;-45,631188;18/02/2009;03/2020;3274361,5383764263
AUTOPISTA FERNÃO DIAS;5 (Carmo da Cachoeira);2007;Minas Gerais;BR-381/MG;735,500;Principal;CrescenteDecrescente;Carmo da Cachoeira;Sul/Norte;-21,545700;-45,240203;10/03/2009;03/2020;3141898,1577832433
AUTOPISTA FERNÃO DIAS;6 (Santo Antônio do Amparo);2007;Minas Gerais;BR-381/MG;658,300;Principal;CrescenteDecrescente;Santo Antônio do Amparo;Sul/Norte;-21,000367;-44,966967;10/03/2009;03/2020;2602018,1513239723
AUTOPISTA FERNÃO DIAS;7 (Carmópolis de Minas);2007;Minas Gerais;BR-381/MG;597,700;Principal;CrescenteDecrescente;Carmópolis de Minas;Sul/Norte;-20,591486;-44,701506;10/03/2009;03/2020;2568074,558211879
AUTOPISTA FERNÃO DIAS;8 (Itatiaiuçu);2007;Minas Gerais;BR-381/MG;545,900;Principal;CrescenteDecrescente;Rio Manso;Sul/Norte;-20,268346;-44,423711;10/03/2009;03/2020;2922067,5271114153
AUTOPISTA FERNÃO DIAS;1 Sul (Mairiporã);2007;São Paulo;BR-381/SP;66,600;Principal;Crescente;Mairiporã;Sul;-23,330558;-46,578337;09/09/2010;03/2020;6038225,818220901
